G,t,e1,e2,e3,add,e4,trust,advice,survey,patient,male,eng,gt10,uscan,fair,code
2,2080.0,20,24,13,FALSE,,5,17,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,374e8f068f7738fbe9d7e7ec248bfe21358e4384
2,1543.0,24,13,14,TRUE,19,0,38,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,code: 62128d37497eaae670e0f4e6f8aaaacf5a73d75e
2,877.0,15,12,13,FALSE,,8,116,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,436950a6bc9e246760b5df77ad967ef0c1fceedf
2,87.0,691,667,588,TRUE,674,10,0,,,,,,,,
2,679.0,13,13,10,FALSE,,5,23,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,bb450e8cc2823d0f43260d92ce1956d1b542ca31
2,1296.0,11,13,77,TRUE,13,13,19,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,7164fa323551ffbea9599bec94bf439b5d520fc4
2,1205.0,11,9,9,TRUE,11,10,361,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,1672589b95937a14d502f9a754a1bdcd59bfb0df
2,1371.0,84,12,82,FALSE,,0,149,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,7e89f2980cdfc192eebd4c153500d93ba81685cf
2,957.0,135,16,16,FALSE,,11,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,32d6a2583d9d6b35aa8be40cdbc381f63d28cfcd
2,745.0,15,14,13,FALSE,,10,169,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,b590fc4e2348dd293115e09e6bb09097614704ed
2,187.0,12,667,588,,,,0,,,,,,,,
2,529.0,11,667,588,FALSE,,5,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2e7d80d8a48989ea1367e13548030a005e35e9ad
3,1691.0,12,15,11,,,10,112,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8791765286c907818339476c8a09853bc4b820a6
3,364.0,15,667,588,,,,0,,,,,,,,
3,1184.0,17,15,12,,,10,121,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,33629312e09e3ffc886217129bc216479384031f
